"","p_val","log2FoldChange","pct.1","pct.2","padj"
"S100A4",4.39093041640351e-105,1.58134177821166,0.938,0.643,6.02172197305577e-101
"B2M",3.81518567572933e-52,0.703143785113822,1,1,5.2321456356952e-48
"ANXA1",6.50316516429812e-40,0.922565008598414,0.795,0.433,8.91844070631844e-36
"VIM",8.949768717507e-39,0.888820368261743,0.934,0.788,1.22737128191891e-34
"S100A11",3.87465025631024e-34,0.746534386531344,0.614,0.229,5.31369536150386e-30
"ACTB",1.37725897514199e-31,0.774229805683681,0.998,0.981,1.88877295850972e-27
"S100A10",6.77680998732815e-31,0.832794179555176,0.795,0.468,9.29371721662182e-27
"RPL32",7.41705275334753e-31,0.00332261148886737,1,0.998,1.01717461459408e-26
"IL32",3.25186793950657e-30,0.862939104773575,0.931,0.739,4.45961169223931e-26
"CLIC1",7.92890190935307e-30,0.705088005354449,0.658,0.283,1.08736960784868e-25
"EMP3",6.60674021504642e-29,0.709958515626524,0.835,0.575,9.06048353091466e-25
"TMSB4X",1.79290847456917e-28,0.617190158778301,1,1,2.45879468202416e-24
"HLA-A",1.66202556426993e-27,0.692804350921118,0.997,0.971,2.27930185883978e-23
"HLA-C",4.0410182914839e-27,0.663560900602381,0.997,0.978,5.54185248494102e-23
"LTB",1.01203115635595e-26,0.952656642821013,0.98,0.877,1.38789952782655e-22
"SH3BGRL3",1.7704530305771e-25,0.798102639974294,0.919,0.705,2.42799928613343e-21
"RPL13",1.39511726758953e-24,0.0437187399159891,1,1,1.91326382077228e-20
"GAPDH",7.758032263945e-24,0.729247433168896,0.914,0.749,1.06393654467742e-19
"CD52",7.81723980019664e-21,0.668095687563318,0.98,0.887,1.07205626619897e-16
"ACTG1",9.01052239183513e-21,0.738647123139986,0.926,0.802,1.23570304081627e-16
"MYL6",7.74819479130035e-19,0.603249077027071,0.909,0.725,1.06258743367893e-14
"KLF6",2.38137514603329e-18,0.686706530564772,0.783,0.447,3.26581787527005e-14
"ARPC1B",4.90759643559969e-18,0.617960908820749,0.769,0.567,6.73027775178142e-14
"GSTK1",8.12418864443848e-18,0.575315703207721,0.736,0.505,1.11415123069829e-13
"PFN1",2.10624124428351e-17,0.605403386187569,0.987,0.903,2.8884992424104e-13
"LGALS1",2.38330037008202e-17,0.704037209800126,0.414,0.145,3.26845812753048e-13
"RPS27",2.59934791513543e-17,0.0675488144672078,1,0.998,3.56474573081673e-13
"RPS6",2.84620565659528e-17,0.0407087949087197,1,0.997,3.90328643745476e-13
"RPL21",3.09374169768191e-16,0.0160514959502027,1,0.988,4.24275736420097e-12
